Sun Aug 14 03:31:50 UTC 2016
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                    tmp/jaesprng|  1.26e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.07662923|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.68214076|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.56748736|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.98141898|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93068128|  PASSED  
        diehard_opso|   0|   2097152|     100|0.81454393|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.18115514|  PASSED  
         diehard_dna|   0|   2097152|     100|0.29402305|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.40345564|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.83888921|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.60849546|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.73488330|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.24732150|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.21436606|  PASSED  
        diehard_sums|   0|       100|     100|0.06821049|  PASSED  
        diehard_runs|   0|    100000|     100|0.97835967|  PASSED  
        diehard_runs|   0|    100000|     100|0.08469236|  PASSED  
       diehard_craps|   0|    200000|     100|0.58977687|  PASSED  
       diehard_craps|   0|    200000|     100|0.37498861|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90847354|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06548250|  PASSED  
         sts_monobit|   1|    100000|     100|0.23090828|  PASSED  
            sts_runs|   2|    100000|     100|0.29401995|  PASSED  
          sts_serial|   1|    100000|     100|0.99973292|   WEAK   
          sts_serial|   2|    100000|     100|0.64851106|  PASSED  
          sts_serial|   3|    100000|     100|0.74280557|  PASSED  
          sts_serial|   3|    100000|     100|0.79214622|  PASSED  
          sts_serial|   4|    100000|     100|0.60192379|  PASSED  
          sts_serial|   4|    100000|     100|0.98207610|  PASSED  
