#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                    tmp/jaesprng|  7.53e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.24897146|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.09465649|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.75963645|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.55672455|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.58857619|  PASSED  
        diehard_opso|   0|   2097152|     100|0.13358804|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.86757422|  PASSED  
         diehard_dna|   0|   2097152|     100|0.31184768|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.41274947|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.30806364|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96257187|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.95658614|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.42496457|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.23544271|  PASSED  
        diehard_sums|   0|       100|     100|0.81125957|  PASSED  
        diehard_runs|   0|    100000|     100|0.80211459|  PASSED  
        diehard_runs|   0|    100000|     100|0.83034046|  PASSED  
       diehard_craps|   0|    200000|     100|0.97428774|  PASSED  
       diehard_craps|   0|    200000|     100|0.59116921|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55776564|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02942629|  PASSED  
         sts_monobit|   1|    100000|     100|0.45904982|  PASSED  
            sts_runs|   2|    100000|     100|0.14911840|  PASSED  
          sts_serial|   1|    100000|     100|0.40622032|  PASSED  
          sts_serial|   2|    100000|     100|0.55447454|  PASSED  
          sts_serial|   3|    100000|     100|0.81838721|  PASSED  
          sts_serial|   3|    100000|     100|0.69334016|  PASSED  
          sts_serial|   4|    100000|     100|0.68983464|  PASSED  
          sts_serial|   4|    100000|     100|0.93182214|  PASSED  
          sts_serial|   5|    100000|     100|0.52116735|  PASSED  
          sts_serial|   5|    100000|     100|0.76925993|  PASSED  
          sts_serial|   6|    100000|     100|0.72702489|  PASSED  
          sts_serial|   6|    100000|     100|0.98119863|  PASSED  
          sts_serial|   7|    100000|     100|0.99291589|  PASSED  
          sts_serial|   7|    100000|     100|0.52956205|  PASSED  
          sts_serial|   8|    100000|     100|0.63014844|  PASSED  
          sts_serial|   8|    100000|     100|0.99711549|   WEAK   
          sts_serial|   9|    100000|     100|0.71702109|  PASSED  
          sts_serial|   9|    100000|     100|0.37018978|  PASSED  
          sts_serial|  10|    100000|     100|0.88651047|  PASSED  
          sts_serial|  10|    100000|     100|0.44753368|  PASSED  
          sts_serial|  11|    100000|     100|0.88517478|  PASSED  
          sts_serial|  11|    100000|     100|0.22341470|  PASSED  
          sts_serial|  12|    100000|     100|0.84104397|  PASSED  
          sts_serial|  12|    100000|     100|0.57453926|  PASSED  
          sts_serial|  13|    100000|     100|0.78223363|  PASSED  
          sts_serial|  13|    100000|     100|0.19730294|  PASSED  
          sts_serial|  14|    100000|     100|0.91498175|  PASSED  
          sts_serial|  14|    100000|     100|0.72577066|  PASSED  
          sts_serial|  15|    100000|     100|0.42285110|  PASSED  
          sts_serial|  15|    100000|     100|0.78609897|  PASSED  
          sts_serial|  16|    100000|     100|0.29857605|  PASSED  
          sts_serial|  16|    100000|     100|0.57645799|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.50886353|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.84224428|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.59210621|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.01352759|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.76622969|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.92974766|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.46989326|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.32281680|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.42712922|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.91350444|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.14034486|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.80077913|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.05411826|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.97056175|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.18976549|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.35450508|  PASSED  
    rgb_permutations|   2|    100000|     100|0.38397102|  PASSED  
    rgb_permutations|   3|    100000|     100|0.85730768|  PASSED  
    rgb_permutations|   4|    100000|     100|0.03610909|  PASSED  
    rgb_permutations|   5|    100000|     100|0.95414922|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.39885787|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.37245116|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.71181176|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.99762842|   WEAK   
      rgb_lagged_sum|   4|   1000000|     100|0.77570812|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.89392976|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.91174814|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.07571529|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.78490414|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.45111561|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.78532393|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.82346478|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.87920234|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.87501961|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.63325351|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.98019964|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.14252086|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.49498471|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.55925492|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.53590539|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.85826524|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.08409593|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.88365464|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.89856329|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.33095790|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.26318416|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.70196173|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.82725124|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.09141213|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.26847882|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.95801530|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.03554629|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.32385730|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.34181558|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.56800776|  PASSED  
             dab_dct| 256|     50000|       1|0.25893716|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.72926021|  PASSED  
        dab_filltree|  32|  15000000|       1|0.77150157|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.13044559|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.08500108|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.93446985|  PASSED  

real	74m30.013s
user	63m16.132s
sys	2m28.966s
