Wed Dec  7 21:17:35 UTC 2022
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                       tmp/rng-4|  3.19e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.62586948|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.98802915|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.53010591|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.95495399|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.53779203|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33286538|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.18420192|  PASSED  
         diehard_dna|   0|   2097152|     100|0.17627347|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.19549625|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.93368657|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.80220017|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.12994654|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.27916663|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.49469775|  PASSED  
        diehard_sums|   0|       100|     100|0.00082363|   WEAK   
        diehard_runs|   0|    100000|     100|0.49610807|  PASSED  
        diehard_runs|   0|    100000|     100|0.85264709|  PASSED  
       diehard_craps|   0|    200000|     100|0.20944653|  PASSED  
       diehard_craps|   0|    200000|     100|0.91602634|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.86288703|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99954343|   WEAK   
         sts_monobit|   1|    100000|     100|0.19560341|  PASSED  
            sts_runs|   2|    100000|     100|0.99387274|  PASSED  











































